,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,17TOC-3979,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/12/17 8:00,7/14/17 17:00,7/5/17 12:30,7/6/17 11:03
Print,17TOC-3981,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/12/17 8:00,7/14/17 17:00,7/5/17 12:36,7/6/17 11:05
Print,17TOC-3984,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/12/17 8:00,7/14/17 17:00,7/5/17 12:41,7/6/17 11:06
Print,17TOC-4242,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/18/17 8:00,7/20/17 17:00,7/14/17 8:10,7/14/17 8:14
Print,17TOC-4243,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/18/17 8:00,7/19/17 17:00,7/14/17 8:17,7/14/17 8:21
Print,17TOC-4244,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/18/17 8:00,7/20/17 17:00,7/14/17 8:29,7/14/17 8:34
Print,17TOC-4356,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/25/17 7:00,7/25/17 17:00,7/19/17 6:06,7/20/17 14:40
Print,17TOC-4579,TempOccup,"Sonic Telecom, LLC",CLOSED,,,7/31/17 7:00,8/1/17 17:00,7/27/17 10:08,7/27/17 11:00
Print,17TOC-4689,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/21/17 9:00,8/22/17 16:00,8/1/17 13:08,8/11/17 15:19
Print,17TOC-4794,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/7/17 7:00,8/8/17 17:00,8/3/17 12:46,8/3/17 14:00
Print,17TOC-4796,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/7/17 7:00,8/7/17 17:00,8/3/17 13:05,8/3/17 13:58
Print,17TOC-4797,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/7/17 7:00,8/11/17 17:00,8/3/17 13:31,8/3/17 14:02
Print,17TOC-4885,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/11/17 7:00,8/11/17 17:00,8/7/17 10:45,8/7/17 11:08
Print,17TOC-4899,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/9/17 7:00,8/11/17 17:00,8/7/17 12:04,8/7/17 12:20
Print,17TOC-5035,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/28/17 7:00,8/31/17 15:00,8/11/17 12:04,8/11/17 16:47
Print,17TOC-7581,TempOccup,"Sonic Telecom, LLC",CLOSED,299 CHENERY ST,,12/1/17 8:00,12/1/17 17:00,11/28/17 11:05,11/28/17 11:10
Print,17TOC-7583,TempOccup,"Sonic Telecom, LLC",CLOSED,,,12/1/17 8:00,12/1/17 17:00,11/28/17 11:07,11/28/17 11:10
Print,17TOC-7693,TempOccup,"Sonic Telecom, LLC",CLOSED,530 CONGO ST,,12/6/17 8:00,12/8/17 17:00,12/4/17 11:33,12/4/17 11:45
Print,18TOC-0289,TempOccup,"Sonic Telecom, LLC",CLOSED,2753 22ND ST,,1/22/18 8:00,1/22/18 17:00,1/17/18 11:35,1/17/18 11:40
Print,13SMF-0084,SurfaceFac,Sonic. net Inc,APPROVED,,,,,4/10/13 16:20,5/29/14 21:55
Print,16TOC-8026,TempOccup,Sonic. net Inc,CLOSED,,,12/12/16 7:00,12/19/16 17:00,12/7/16 13:33,12/7/16 14:00
