,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,16TOC-5277,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/29/16 7:00,9/2/16 17:00,8/18/16 10:04,8/30/16 8:45
Print,16TOC-5291,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/29/16 7:00,9/2/16 17:00,8/18/16 12:19,8/30/16 9:35
Print,16TOC-5303,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/5/16 7:00,9/16/16 17:00,8/19/16 6:34,8/31/16 8:18
Print,16TOC-5304,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/29/16 7:00,9/2/16 17:00,8/19/16 7:03,8/31/16 8:30
Print,16TOC-5373,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/12/16 7:00,9/16/16 17:00,8/22/16 15:50,9/6/16 8:36
Print,16TOC-5384,TempOccup,"Sonic Telecom, LLC",CLOSED,,,9/12/16 7:00,9/16/16 18:00,8/23/16 10:08,9/6/16 8:21
Print,16TOC-5986,TempOccup,"Sonic Telecom, LLC",CLOSED,4419 BALBOA ST,,9/20/16 7:00,9/21/16 17:00,9/16/16 10:36,9/16/16 10:57
Print,16TOC-7502,TempOccup,"Sonic Telecom, LLC",CLOSED,,,11/15/16 7:00,11/23/16 17:00,11/14/16 14:15,11/14/16 14:44
Print,16TOC-8118,TempOccup,"Sonic Telecom, LLC",CLOSED,,,12/26/16 7:00,12/30/16 17:00,12/14/16 7:31,12/29/16 8:35
Print,16TOC-8317,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/9/17 7:00,1/20/17 17:00,12/29/16 6:37,1/11/17 10:08
Print,17EXC-0033,Excavation,"Sonic Telecom, LLC",EXPIRED,,SDEP-AE-06 AND SANTIAGO ANCHORS,1/11/17 0:00,1/25/17 0:00,1/4/17 9:46,1/6/17 11:27
Print,17EXC-0158,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-BB-01-2,1/23/17 0:00,2/10/17 0:00,1/11/17 10:39,1/18/17 13:06
Print,17EXC-0421,Excavation,"Sonic Telecom, LLC",RENEWED,3780 26TH ST,1609 - Cougar - 26th Avenue Trench Across Dolores,3/1/17 0:00,3/5/17 0:00,1/23/17 14:53,2/28/17 16:24
Print,17EXC-0424,Excavation,"Sonic Telecom, LLC",EXPIRED,1106 POTRERO AVE,1609 - Cougar - 23rd St. Trench Across Potrero,5/8/17 0:00,6/5/17 0:00,1/24/17 7:11,5/3/17 7:48
Print,17EXC-0428,Excavation,"Sonic Telecom, LLC",APPLCNT,787 CHENERY ST,1609 - Cougar Excavation Chenery st & Lippard ave,7/1/17 0:00,7/28/17 0:00,1/24/17 7:26,
Print,17EXC-0452,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-8,2/8/17 0:00,2/17/17 0:00,1/25/17 6:36,2/3/17 12:24
Print,17EXC-0453,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-9-,2/8/17 0:00,2/17/17 0:00,1/25/17 7:13,2/2/17 14:11
Print,17EXC-0670,Excavation,"Sonic Telecom, LLC",EXPIRED,3300 25TH ST,1609 - Cougar CO Exit,4/17/17 0:00,5/14/17 0:00,2/2/17 14:06,2/9/17 15:53
Print,17EXC-0691,Excavation,"Sonic Telecom, LLC",EXPIRED,593 CHENERY ST,1609-2,3/8/17 0:00,3/28/17 0:00,2/3/17 9:09,3/3/17 10:57
Print,17EXC-0821,Excavation,"Sonic Telecom, LLC",RENEWED,3333 25TH ST,1609 - COUGAR 3333 25th St CO Exit,2/20/17 0:00,3/19/17 0:00,2/9/17 9:30,2/17/17 11:30
Print,17EXC-0822,Excavation,"Sonic Telecom, LLC",RENEWED,3359 26TH ST,1609 Cougar - CO Exit 26th ST,2/20/17 0:00,3/19/17 0:00,2/9/17 9:39,2/17/17 10:32
Print,17EXC-0917,Excavation,"Sonic Telecom, LLC",RENEWED,,"1609-10,11",2/27/17 0:00,3/10/17 0:00,2/15/17 14:02,2/21/17 16:20
Print,17EXC-1015,Excavation,"Sonic Telecom, LLC",RENEWED,,"1609-12,13",3/6/17 0:00,3/17/17 0:00,2/21/17 12:05,2/23/17 14:58
Print,17EXC-1371,Excavation,"Sonic Telecom, LLC",RENEWED,,1609-19&29,3/27/17 0:00,3/31/17 0:00,3/10/17 9:10,3/14/17 16:06
Print,17EXC-1521,Excavation,"Sonic Telecom, LLC",EXPIRED,3333 25TH ST,1609 - COUGAR 3333 25th St CO Exit,3/22/17 0:00,4/20/17 0:00,3/16/17 10:39,3/21/17 13:29
Print,17EXC-1523,Excavation,"Sonic Telecom, LLC",RENEWED,3359 26TH ST,1609 Cougar - CO Exit 26th ST,3/22/17 0:00,4/20/17 0:00,3/16/17 10:43,3/21/17 13:38
Print,17EXC-1532,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-4,4/3/17 0:00,4/28/17 0:00,3/16/17 12:59,3/24/17 7:58
Print,17EXC-1615,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-3,4/3/17 0:00,4/28/17 0:00,3/21/17 9:28,3/28/17 8:46
Print,17EXC-1616,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-5,4/3/17 0:00,4/28/17 0:00,3/21/17 9:45,3/24/17 13:29
Print,17EXC-1618,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-6,4/3/17 0:00,4/28/17 0:00,3/21/17 10:00,3/24/17 14:22
Print,17EXC-1626,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-7,4/3/17 0:00,4/28/17 0:00,3/21/17 11:11,3/24/17 15:59
Print,17EXC-1699,Excavation,"Sonic Telecom, LLC",RENEWED,3780 26TH ST,1609 - Cougar - 26th Avenue Trench Across Dolores,4/10/17 0:00,4/30/17 0:00,3/23/17 12:05,3/28/17 16:18
Print,17EXC-1790,Excavation,"Sonic Telecom, LLC",RENEWED,,"1609-20,25,26",4/10/17 0:00,5/5/17 0:00,3/28/17 7:14,4/4/17 16:09
Print,17EXC-2043,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-22,4/14/17 0:00,4/21/17 0:00,4/7/17 9:33,4/12/17 11:25
Print,17EXC-2046,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-30,4/14/17 0:00,4/21/17 0:00,4/7/17 9:45,4/12/17 11:49
Print,17EXC-2320,Excavation,"Sonic Telecom, LLC",APPLCNT,3359 26TH ST,1609 Cougar - CO Exit 26th ST,4/25/17 0:00,5/12/17 0:00,4/20/17 12:01,
Print,17EXC-2336,Excavation,"Sonic Telecom, LLC",RENEWED,,1609-31,5/1/17 0:00,5/11/17 0:00,4/21/17 8:10,4/25/17 11:08
Print,17EXC-2337,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-32,5/1/17 0:00,5/12/17 0:00,4/21/17 9:23,4/25/17 11:08
Print,17EXC-2395,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-51,5/1/17 0:00,5/5/17 0:00,4/25/17 6:48,4/25/17 13:31
Print,17EXC-2398,Excavation,"Sonic Telecom, LLC",RENEWED,3780 26TH ST,1609 - Cougar - 26th Avenue Trench Across Dolores,5/2/17 0:00,5/6/17 0:00,4/25/17 8:33,5/2/17 13:06
Print,17EXC-2474,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-44,5/4/17 0:00,5/11/17 0:00,4/27/17 7:57,4/27/17 14:28
Print,17EXC-2478,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-50,5/4/17 0:00,5/11/17 0:00,4/27/17 9:02,4/28/17 15:09
Print,17EXC-2606,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-42 ANCHORS,5/8/17 0:00,5/12/17 0:00,5/3/17 13:10,5/4/17 11:01
Print,17EXC-2835,Excavation,"Sonic Telecom, LLC",EXPIRED,3780 26TH ST,1609 - Cougar - 26th Avenue Trench Across Dolores,5/18/17 0:00,5/25/17 0:00,5/12/17 11:30,5/17/17 13:20
Print,17EXC-3082,Excavation,"Sonic Telecom, LLC",CLOSED,,1609-21,7/3/17 0:00,7/14/17 0:00,5/25/17 7:56,6/27/17 8:36
Print,17EXC-3084,Excavation,"Sonic Telecom, LLC",CLOSED,,1609-23,7/3/17 0:00,7/14/17 0:00,5/25/17 8:30,6/26/17 11:17
Print,17EXC-3512,Excavation,"Sonic Telecom, LLC",CLOSED,,1609-28,7/3/17 0:00,7/14/17 0:00,6/17/17 11:00,6/28/17 14:32
Print,17EXC-3513,Excavation,"Sonic Telecom, LLC",APPLCNT,,1609-8.2,7/3/17 0:00,7/14/17 0:00,6/17/17 11:28,1/1/00 0:00
Print,17EXC-3514,Excavation,"Sonic Telecom, LLC",APPLCNT,,1609-9.2,7/3/17 0:00,7/14/17 0:00,6/17/17 11:42,
Print,17EXC-3515,Excavation,"Sonic Telecom, LLC",APPLCNT,,1609-10.2,6/26/17 0:00,7/7/17 0:00,6/17/17 12:17,
Print,17EXC-3516,Excavation,"Sonic Telecom, LLC",APPLCNT,,1609-32.2,6/26/17 0:00,7/7/17 0:00,6/17/17 12:39,
Print,17EXC-3517,Excavation,"Sonic Telecom, LLC",APPLCNT,,"1609-14,15",6/26/17 0:00,7/7/17 0:00,6/17/17 13:05,
Print,17EXC-4021,Excavation,"Sonic Telecom, LLC",APPLCNT,,1609-35,7/25/17 0:00,8/2/17 0:00,7/13/17 10:24,
Print,17EXC-4396,Excavation,"Sonic Telecom, LLC",EXPIRED,,"1609-12,13",8/7/17 0:00,8/21/17 0:00,7/31/17 10:09,8/1/17 13:48
Print,17EXC-4400,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-19&29,8/7/17 0:00,8/21/17 0:00,7/31/17 10:19,8/1/17 14:03
Print,17EXC-4428,Excavation,"Sonic Telecom, LLC",EXPIRED,,1601-40 7031 601 Diamond ANC,8/9/17 0:00,8/11/17 0:00,8/1/17 10:50,8/7/17 8:11
Print,17EXC-4433,Excavation,"Sonic Telecom, LLC",EXPIRED,,1609-45 Anchors,8/9/17 0:00,8/11/17 0:00,8/1/17 11:35,8/7/17 8:13
